theta_deg,hl_ratio,tl_ratio,E1_Es,E2_Es,nu12,nu21,rel_density
-20.980671687339623,1.3207494064161511,0.18359733017427124,0.04681910015020935,0.007319216527733413,-2.5291770572410637,-0.39538552555543244,0.33913699507982326
-30.136185755597587,1.1728967120257021,0.14655000206909527,0.01609776737591483,0.003264203231173949,-2.2207221709783656,-0.4503039655606438,0.400737525509208
-27.11259660302487,1.7422917005564247,0.18846716804857627,0.022299215259385476,0.01221235049905094,-1.351279411682826,-0.7400393962597583,0.307943715292882
-21.445322673352408,1.774485803669105,0.12595747735861573,0.009876371312148703,0.0034915704701045666,-1.6818540244320512,-0.5945819229690235,0.1812754911794958
-37.34441030353297,1.9301303729801451,0.07483292985964797,0.0006840743270010183,0.001103833077586107,-0.787226932873884,-1.2702817424568513,0.13975530782463896
-29.869777865714624,1.95022981712335,0.13633692070320763,0.0061010065864430685,0.005643774302368456,-1.0397188746210158,-0.961798448031932,0.21383587609228946
-44.667784539265064,1.5554871512834167,0.06194705970774493,0.00040128773544757454,0.0005633608915832474,-0.8439847429393618,-1.1848555419583546,0.1816397039275778
-22.625085693798084,1.3792054327608962,0.1560687350512547,0.023840673767102288,0.004807185746812437,-2.2269671500143127,-0.4490411993699921,0.2872577305894736
-38.48154495065031,1.6837130598033894,0.048187288913699715,0.00021311107950577337,0.00024758847564970195,-0.9277646086446631,-1.0778596108132028,0.10681516768792132
-38.05946294409399,0.9219727608108244,0.04294947637398091,0.0005372968885935716,4.95834961923752e-05,-3.291839026726116,-0.3037815615773125,0.2608687241087268
-57.20374264530409,1.542822234590028,0.09432983544192308,0.000916250982717945,0.003708996238746998,-0.49702591130171647,-2.011967539843121,0.43931264096931566
-49.36035172065229,1.4706781821103494,0.1160498934322229,0.002483381950119402,0.004027031776087816,-0.7852884896933618,-1.2734173658784664,0.43436554985237436
-15.994769504887543,1.1294878892142517,0.06087580063269883,0.003344729497532102,0.00021687102588344878,-3.9271702868956697,-0.2546362716526039,0.11604020194046587
-57.98046816749873,1.4738135398728804,0.021588306644807518,1.1855215153117128e-05,4.225256357401901e-05,-0.5296978231146328,-1.8878688119199394,0.11298260276897766
-30.356261395482868,1.360976312228733,0.0636549554451135,0.0010184924217112562,0.0003434685879262832,-1.7220088877775175,-0.5807170956536895,0.14488919603875103
-21.207634317018986,1.17604016580108,0.19803215241393185,0.06794498851469263,0.0078046600564172074,-2.9505414428312835,-0.3389208453348884,0.41425479405641774
-30.176484475445932,1.0542065692718792,0.057888756158907026,0.0012033791390097016,0.00016561288742544345,-2.6955920990367703,-0.37097600944791875,0.18540821893726164
-18.948471150047403,1.5939068657905837,0.03384349949097461,0.000273963011555539,5.814857620004413e-05,-2.170583129272578,-0.4607056907952322,0.05066188721790571
-25.82304870526623,1.3089139733803736,0.189123497768404,0.036746184006665905,0.008099809933419808,-2.1299465673605957,-0.4694953457162017,0.3980296236794967
-45.35920773114594,1.4255343652408412,0.051137625448906876,0.0002599452955067367,0.0002752261265653277,-0.971843091928469,-1.0289726894242341,0.17457837805642143
-42.421641867247736,0.7672012156126045,0.038367739725434155,0.0009892360965504498,1.3004091127557699e-05,-8.721877355224148,-0.11465421482922246,0.776422390614754
-27.775971869169794,1.6472194225337602,0.031717595856894765,0.00011005468947540983,5.4415784954533386e-05,-1.4221382821100046,-0.7031665011621201,0.055344408903978404
-46.5382793319477,1.7538816213752635,0.06761837504313688,0.00039265624310539304,0.0009765368892692697,-0.6341060935840297,-1.5770231671294974,0.17947165772184118
-32.72880551608337,0.9848109342391743,0.17461429933136072,0.03449671191754017,0.003971992733722351,-2.947030484574071,-0.3393246202353174,0.6974609094271106
-52.864054208495716,1.3866164254307531,0.03394146399573888,6.30173487306901e-05,0.00010474388554242125,-0.7756498692700473,-1.289241498797757,0.16151809034701228
-7.857675158786407,1.857789134320194,0.18767983880371608,0.20358104125127507,0.011704258882613137,-4.170582398811048,-0.2397746655922877,0.2123356697343828
-11.856448196929477,0.9425602107448072,0.055828975211316134,0.005473068504595846,0.00013683668466751904,-6.324324863322583,-0.15811964464371844,0.11386609573038013
-27.521964964193785,1.4881384838101634,0.05234276276833433,0.0005804878300251326,0.00021096565134045897,-1.658787233200239,-0.6028500702110757,0.10032511967582787
-7.311771698920708,0.9587558606188507,0.1506295051580637,0.25170237944992474,0.0029122174690486987,-9.296762989085844,-0.10756432117006466,0.2701963394757513
-21.593682202565404,1.8611227798905101,0.14585271868870378,0.014266070334953451,0.005762887653492079,-1.5733744878817173,-0.6355765952111826,0.20282034396661308
-46.29788733921585,1.5680015402480771,0.06679274361048357,0.0004661382564080263,0.0007635063415910686,-0.7813597745024283,-1.2798201707232784,0.20408728547641586
-59.581882861613074,1.5918105695339029,0.17118113201377388,0.004681776873509238,0.02819206719105216,-0.40751340110487894,-2.453907030514162,0.8323887039229936
-12.30482025921188,1.2778708885270302,0.1283950857317927,0.04276444437163672,0.0024164381244256372,-4.206816584293433,-0.23770943656863938,0.20227972712094314
-45.81677826247917,0.9824335073288688,0.07326498897286611,0.002008856966316944,0.0003082073431894619,-2.5530129445715715,-0.39169405784889705,0.590832608030182
-64.82274764035773,1.7416110047900308,0.06683115594025062,0.00018532579226506146,0.0032434617215798354,-0.23903612741697844,-4.1834680422829305,0.3512885937766978
-57.05325318870106,1.656215422748589,0.19037987984328586,0.006522294063080104,0.03504662893316809,-0.43139694229410336,-2.3180507369434564,0.783237507573639
-36.5585323293578,1.2504734216292055,0.1509959501935782,0.01190267291461702,0.004349847864093609,-1.6541893323470032,-0.6045257217208481,0.46655564950949086
-66.74204127955763,1.6517860634507167,0.042835901204330756,5.0160777066472415e-05,0.000935814662773784,-0.23151930233225182,-4.319294287458186,0.27020542051261043
-15.753928693071842,0.9018134031158912,0.1887872495858775,0.13937270655516418,0.004757224646854019,-5.412676069855596,-0.18475149576550937,0.45153134426985553
-23.111035262359245,1.384259495605202,0.12482662732724989,0.01170788805123288,0.002479238030256361,-2.1731022826919597,-0.46017162098842235,0.23156499558668048
-26.04027830367974,1.7977751821818133,0.08000522605227586,0.0017570527164545214,0.0009593306350890615,-1.3533441163090547,-0.7389103687296309,0.12443993645383485
-47.593022016867224,0.9769767569247687,0.09148510035192772,0.003969492314718107,0.0005956486375419407,-2.58150164636376,-0.38737143608200886,0.8462648679845761
-32.951836947316764,1.225324973646115,0.1505728118634713,0.014209516393613647,0.003936872613104458,-1.899826615110662,-0.5263638229122037,0.4246834250405357
-36.192652331544835,1.9265672812593342,0.08772907730349506,0.0011696420943872073,0.0017162458838668913,-0.8255373758766765,-1.2113321930918677,0.15973719576775536
-31.261504883388504,1.697317762957605,0.12417406384134927,0.005157459856065039,0.003612186439421919,-1.1949035438916373,-0.8368876342463065,0.2278959096269121
-48.81444483720428,1.0778705913356696,0.05516749951507362,0.0006001071990562691,0.00019127283633240606,-1.7712822450741006,-0.5645627639417599,0.3963490392229161
-55.2604090750411,1.2781558748244635,0.09548745627384458,0.0016097813981227156,0.002147404419877564,-0.8658178416815384,-1.1549773541948052,0.6017782996985519
